Month,#Passengers
Jan-09,112
Feb-09,118
Mar-09,132
Apr-09,129
May-09,121
Jun-09,135
Jul-09,148
Aug-09,148
Sep-09,136
Oct-09,119
Nov-09,104
Dec-09,118
Jan-10,115
Feb-10,126
Mar-10,141
Apr-10,135
May-10,125
Jun-10,149
Jul-10,170
Aug-10,170
Sep-10,158
Oct-10,133
Nov-10,114
Dec-10,140
Jan-11,145
Feb-11,150
Mar-11,178
Apr-11,163
May-11,172
Jun-11,178
Jul-11,199
Aug-11,199
Sep-11,184
Oct-11,162
Nov-11,146
Dec-11,166
Jan-12,171
Feb-12,180
Mar-12,193
Apr-12,181
May-12,183
Jun-12,218
Jul-12,230
Aug-12,242
Sep-12,209
Oct-12,191
Nov-12,172
Dec-12,194
Jan-13,196
Feb-13,196
Mar-13,236
Apr-13,235
May-13,229
Jun-13,243
Jul-13,264
Aug-13,272
Sep-13,237
Oct-13,211
Nov-13,180
Dec-13,201
Jan-14,204
Feb-14,188
Mar-14,235
Apr-14,227
May-14,234
Jun-14,264
Jul-14,302
Aug-14,293
Sep-14,259
Oct-14,229
Nov-14,203
Dec-14,229
Jan-15,242
Feb-15,233
Mar-15,267
Apr-15,269
May-15,270
Jun-15,315
Jul-15,364
Aug-15,347
Sep-15,312
Oct-15,274
Nov-15,237
Dec-15,278
Jan-16,284
Feb-16,277
Mar-16,317
Apr-16,313
May-16,318
Jun-16,374
Jul-16,413
Aug-16,405
Sep-16,355
Oct-16,306
Nov-16,271
Dec-16,306
