Id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,satisfaction
19556,Female,Loyal Customer,52,Business travel,Eco,160,satisfied
90035,Female,Loyal Customer,36,Business travel,Business,2863,satisfied
12360,Male,disloyal Customer,20,Business travel,Eco,192,neutral or dissatisfied
77959,Male,Loyal Customer,44,Business travel,Business,3377,satisfied
36875,Female,Loyal Customer,49,Business travel,Eco,1182,satisfied
39177,Male,Loyal Customer,16,Business travel,Eco,311,satisfied
79433,Female,Loyal Customer,77,Business travel,Business,3987,satisfied
97286,Female,Loyal Customer,43,Business travel,Business,2556,satisfied
27508,Male,Loyal Customer,47,Business travel,Eco,556,satisfied
62482,Female,Loyal Customer,46,Business travel,Business,1744,satisfied
47583,Female,Loyal Customer,47,Business travel,Eco,1235,satisfied
115550,Female,Loyal Customer,33,Business travel,Business,325,neutral or dissatisfied
119987,Female,Loyal Customer,46,Business travel,Business,1009,satisfied
42141,Female,Loyal Customer,60,Business travel,Business,451,satisfied
2274,Female,Loyal Customer,52,Business travel,Business,925,satisfied
22470,Male,Loyal Customer,50,Personal Travel,Eco,83,neutral or dissatisfied
124915,Female,Loyal Customer,31,Business travel,Eco,728,neutral or dissatisfied
17836,Male,Loyal Customer,52,Personal Travel,Eco Plus,1075,satisfied
76872,Female,Loyal Customer,43,Personal Travel,Eco,1927,neutral or dissatisfied
64287,Female,Loyal Customer,50,Business travel,Business,3799,satisfied
63995,Male,Loyal Customer,60,Business travel,Business,612,satisfied
75855,Male,Loyal Customer,43,Personal Travel,Eco,1437,neutral or dissatisfied
106181,Male,Loyal Customer,55,Personal Travel,Eco,302,neutral or dissatisfied
44304,Male,Loyal Customer,25,Business travel,Business,1428,satisfied
82602,Female,disloyal Customer,30,Business travel,Eco,528,neutral or dissatisfied
7823,Male,Loyal Customer,62,Personal Travel,Eco,710,neutral or dissatisfied
127781,Male,Loyal Customer,24,Business travel,Business,3680,satisfied
34501,Female,Loyal Customer,22,Business travel,Eco,1521,satisfied
121658,Male,Loyal Customer,44,Business travel,Business,1543,satisfied
20219,Male,Loyal Customer,51,Business travel,Eco,235,neutral or dissatisfied
67551,Male,Loyal Customer,43,Personal Travel,Business,1235,neutral or dissatisfied
48994,Female,Loyal Customer,56,Business travel,Eco,308,satisfied
70811,Male,disloyal Customer,41,Business travel,Eco,624,neutral or dissatisfied
75241,Male,Loyal Customer,22,Personal Travel,Eco,1846,neutral or dissatisfied
12312,Female,Loyal Customer,53,Business travel,Eco,192,satisfied
48372,Male,Loyal Customer,12,Personal Travel,Eco,674,neutral or dissatisfied
51477,Female,Loyal Customer,39,Business travel,Business,370,satisfied
84204,Female,Loyal Customer,55,Business travel,Business,3169,satisfied
70990,Female,disloyal Customer,32,Business travel,Business,802,neutral or dissatisfied
101991,Female,Loyal Customer,40,Personal Travel,Eco,628,neutral or dissatisfied
87447,Female,disloyal Customer,42,Business travel,Business,373,neutral or dissatisfied
16112,Male,disloyal Customer,24,Business travel,Eco,725,satisfied
16172,Male,Loyal Customer,22,Business travel,Business,277,neutral or dissatisfied
106558,Female,Loyal Customer,28,Business travel,Business,1024,satisfied
11536,Female,Loyal Customer,36,Business travel,Eco Plus,267,neutral or dissatisfied
47773,Female,Loyal Customer,62,Business travel,Eco,550,satisfied
70521,Female,Loyal Customer,60,Business travel,Business,1889,satisfied
96283,Female,Loyal Customer,59,Personal Travel,Eco,460,neutral or dissatisfied
117993,Female,Loyal Customer,49,Business travel,Business,3295,satisfied
74703,Female,Loyal Customer,44,Personal Travel,Eco,1205,neutral or dissatisfied
110840,Female,Loyal Customer,58,Personal Travel,Eco Plus,990,neutral or dissatisfied
88249,Male,disloyal Customer,24,Business travel,Business,444,satisfied
