Datetime,Humidity,Pressure,Weather_Description,Wind_Direction ,Wind_Speed,Temperature
11/1/2017 0:00,77,1020,sky is clear,SW,1,61
11/1/2017 1:00,82,1020,sky is clear,SW,1,55
11/1/2017 2:00,93,1020,sky is clear,S,1,53
11/1/2017 3:00,87,1020,sky is clear,S,1,52
11/1/2017 4:00,82,1020,sky is clear,S,1,51
11/1/2017 5:00,93,1020,sky is clear,S,1,49
11/1/2017 6:00,87,1020,mist,S,1,48
11/1/2017 7:00,93,1020,mist,S,1,47
11/1/2017 8:00,93,1020,sky is clear,S,1,47
11/1/2017 9:00,93,1020,sky is clear,S,1,47
11/1/2017 10:00,100,1020,mist,S,1,46
11/1/2017 11:00,93,1020,sky is clear,SE,1,45
11/1/2017 12:00,100,1021,sky is clear,SE,1,45
11/1/2017 13:00,100,1021,mist,SE,2,45
11/1/2017 14:00,100,1022,mist,SE,1,50
11/1/2017 15:00,77,1023,sky is clear,SW,1,56
11/1/2017 16:00,68,1022,sky is clear,SE,1,63
11/1/2017 17:00,56,1022,sky is clear,S,2,67
11/1/2017 18:00,49,1021,sky is clear,SW,3,69
11/1/2017 19:00,49,1020,sky is clear,S,2,71
11/1/2017 20:00,56,1020,sky is clear,SW,2,70
11/1/2017 21:00,72,1021,light rain,S,3,70
11/1/2017 22:00,72,1020,moderate rain,S,3,67
11/1/2017 23:00,87,1020,light rain,S,2,64
11/2/2017 0:00,48,1020,light rain,SE,1,62
11/2/2017 1:00,100,1020,light intensity drizzle,S,2,61
11/2/2017 2:00,100,1020,light rain,S,1,60
11/2/2017 3:00,100,1021,scattered clouds,S,1,60
11/2/2017 4:00,100,1021,scattered clouds,S,1,58
11/2/2017 5:00,100,1021,broken clouds,SE,2,56
11/2/2017 6:00,100,1021,overcast clouds,SE,2,56
11/2/2017 7:00,100,1021,overcast clouds,SE,2,57
11/2/2017 8:00,93,1021,overcast clouds,SW,1,58
11/2/2017 9:00,100,1021,overcast clouds,S,2,58
11/2/2017 10:00,100,1021,overcast clouds,S,2,57
11/2/2017 11:00,93,1022,overcast clouds,SE,1,57
11/2/2017 12:00,93,1022,overcast clouds,SE,2,57
11/2/2017 13:00,100,1023,overcast clouds,SE,1,57
11/2/2017 14:00,93,1023,broken clouds,S,1,59
11/2/2017 15:00,82,1024,overcast clouds,SE,2,62
11/2/2017 16:00,77,1024,overcast clouds,SE,2,67
11/2/2017 17:00,68,1024,overcast clouds,SE,2,70
11/2/2017 18:00,64,1023,overcast clouds,S,2,72
11/2/2017 19:00,64,1022,overcast clouds,S,2,73
11/2/2017 20:00,73,1022,overcast clouds,S,2,74
11/2/2017 21:00,73,1022,overcast clouds,S,2,73
11/2/2017 22:00,78,1022,overcast clouds,S,2,73
11/2/2017 23:00,83,1022,light rain,S,1,71
