INSTNM,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,PCTPELL,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC
Altierus Career College-Norcross,,,15594,15594,1,0.7416,8898,4486,47.16,23.58,6.47,32.64
American InterContinental University-Atlanta,,,12692,12692,,0.7957,32501,7638,68.5,19.25,3.19,13.09
Atlanta Metropolitan State College,,,3505,10131,0.6479,0.6188,13220,5500,29.37,64.01,2.26,5.4
Aviation Institute of Maintenance-Atlanta,,,16657,16657,,0.2069,31288,8750,60.5,32.38,2.64,5.85
Cambridge College of Healthcare & Technology,,,14908,14908,,,27250,7860,,,,
Columbia College - Fort Stewart,,,8112,8112,,,24000,10034,,,,
Columbia College - Hunter Army Airfield,,,8112,8112,,,24000,10034,,,,
Columbia College - NSB Kings Bay,,,8112,8112,,,24000,10034,,,,
Dalton State College,,,3683,10589,0.664,0.477,13200,5500,88.35,3.36,0.65,10.91
East Georgia State College,,,3136,9488,0.6098,0.5888,11500,5500,63.52,32.4,0.75,3.85
East Georgia State College - Augusta,,,4210,10562,,,11500,5500,,,,
East Georgia State College - Statesboro,,,4614,10966,,,11500,5500,,,,
Fortis College-Smyrna,,,14630,14630,0.1786,0.7197,12139,5500,55.62,38.42,2.16,4.19
Georgia Highlands College,,,3344,9696,0.5166,0.4154,11104,5500,83.65,11.43,0.97,4.7
Georgia Military College,,,6615,6615,0.2256,0.3676,8694,4881,,,,
Georgia Military College - Albany,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Augusta,,,6165,6165,,,8694,4881,,,,
Georgia Military College - Columbus,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Dublin,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Eastman,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Fairburn,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Fayetteville,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Madison,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Robins,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Sandersville,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Stone Mountain,,,6210,6210,,,8694,4881,,,,
Georgia Military College - Valdosta,,,5850,5850,,,8694,4881,,,,
Georgia Military College - Zebulon,,,6210,6210,,,8694,4881,,,,
Gupton Jones College of Funeral Service,,,11970,11970,,0.7046,16042,6333,53.7,38.98,2.51,6.1
Gwinnett College-Lilburn,,,9925,9925,,0.8333,17605,5408,66.16,21.56,5.96,9.66
Helms College,,,13460,13460,1,0.814,9500,4645,,,,
Institute of Medical Ultrasound,,,28100,28100,,0.64,16167,PrivacySuppressed,,,,
Interactive College of Technology-Chamblee,,,10250,10250,0.2381,0.7183,10711,6705,57.11,29.98,5.35,11.25
Interactive College of Technology-Gainesville,,,10850,10850,,0.8462,10711,6705,57.11,29.98,5.35,11.25
Interactive College of Technology-Morrow,,,10850,10850,,0.6733,10711,6705,57.11,29.98,5.35,11.25
Miami Ad School-Atlanta,,,19400,19400,,0.2857,21250,9500,72.42,19.14,3.26,6.94
National American University-Kings Bay,,,6075,6075,,0.3871,24384,12497,,,,
South Georgia State College,,,3310,9662,0.6698,0.5456,11949,5500,,,,
South University-Savannah,,,17014,17014,0.5591,0.5238,25379,9500,65.22,28.56,1.74,6.61
South University-Savannah Online,,,13594,13594,0.0674,0.6694,25379,9500,,,,
Strayer University - Macon Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Augusta Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Cobb Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Columbus,,,13515,13515,,,40023,10130,,,,
Strayer University-Douglasville Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Georgia,,,13515,13515,0.1163,0.7883,40023,10130,,,,
Strayer University-Lithonia Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Morrow Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Roswell Campus,,,13515,13515,,,40023,10130,,,,
Strayer University-Savannah Campus,,,13515,13515,,,40023,10130,,,,
The Art Institute of Atlanta,,,19354,19354,0.2353,0.686,30750,9834,61.29,30.12,3.43,6.39
Middle Georgia State University,0.9932,,4060,11407,0.8128,0.454,19564,7500,,,,
Reinhardt University,0.9869,1073,25228,25228,0.4253,0.4,24000,8250,85.69,8.37,1.62,6
Brewton-Parker College,0.9814,,18900,18900,1,0.3604,25500,8125,66.66,27.89,1.13,5.08
Covenant College,0.9755,1209,36710,36710,1,0.2051,23430,11000,83.78,10.46,1.76,5.15
Truett McConnell University,0.9729,1052,21938,21938,1,0.1019,24111,7500,80.95,13.85,1.48,4.93
