Num_of_Codefendants,Defendant_Age,Defendant_Sex,Num_of_Attorneys,Num_of_Charges,Witness_Testimony,Method,Priors,Prosecutor,Num_of_Victims,Verdict
0,30,1,3,14,1,3,1,14,1,0
1,16,1,2,5,1,1,1,15,1,0
0,27,1,4,2,1,1,1,2,1,0
0,30,1,6,11,1,1,1,16,2,0
0,42,1,2,13,1,2,1,11,2,0
0,21,1,3,7,1,1,1,18,1,0
0,33,1,2,5,1,2,1,2,1,1
1,39,0,4,14,0,3,1,16,1,0
5,16,1,2,7,1,1,0,2,2,0
1,30,1,4,6,0,2,1,20,2,0
0,32,1,2,3,1,3,1,21,1,0
0,41,0,2,5,1,1,1,1,1,0
0,40,1,2,9,1,1,1,22,1,0
0,18,1,2,6,0,1,1,19,1,0
4,15,1,5,18,1,1,1,2,2,0
0,23,1,5,6,1,2,1,23,1,0
1,31,1,2,15,0,2,1,25,1,0
1,27,1,2,3,1,3,1,26,1,0
0,26,1,4,7,1,1,1,2,1,0
0,21,1,4,4,1,2,1,2,1,0
1,33,1,6,14,1,1,1,20,2,0
0,28,1,2,4,0,1,1,2,1,0
0,43,0,4,8,1,3,1,2,1,0
0,33,1,4,8,1,3,1,15,1,0
0,26,1,3,5,0,1,1,2,1,0
2,30,1,4,9,1,1,1,3,1,0
3,22,1,4,13,1,1,1,2,1,0
2,24,1,3,7,1,3,0,27,1,1
1,18,1,3,4,1,1,0,1,1,0
5,30,0,3,15,1,1,0,2,2,0
1,46,1,2,6,1,1,1,3,1,0
0,28,1,3,3,1,2,1,4,1,1
0,55,1,3,5,1,1,1,3,1,0
2,27,1,2,8,0,1,1,5,1,0
0,18,1,2,6,1,1,1,3,1,0
1,35,1,3,6,0,1,1,3,1,0
0,32,1,2,4,1,2,1,6,1,0
0,28,1,2,4,0,1,1,2,1,0
1,23,1,3,22,1,1,1,2,2,0
1,15,1,2,8,1,1,1,7,1,0
0,28,1,2,12,0,1,1,1,1,0
0,39,1,3,12,0,3,1,3,1,0
0,18,1,3,7,1,1,1,3,1,0
0,41,1,1,4,1,1,1,3,1,0
0,35,1,2,4,1,3,1,4,1,0
0,32,1,3,4,1,3,1,3,1,0
2,31,1,3,8,1,1,1,5,1,0
0,48,0,2,6,1,3,0,2,1,1
2,48,1,1,5,1,1,1,2,1,0
3,22,0,1,13,1,3,1,2,1,1
1,17,1,3,12,1,1,1,2,1,0
1,46,1,2,13,0,1,1,2,2,0
1,21,1,2,7,1,1,1,2,1,0
0,42,1,2,5,1,1,1,3,1,0
0,25,1,4,8,1,3,0,8,1,0
0,29,1,4,8,1,1,1,3,3,0
0,31,1,3,7,0,2,1,2,1,0
0,26,1,3,9,0,1,1,3,1,1
0,32,1,2,7,1,1,1,9,1,0
0,24,1,4,10,1,1,1,2,1,0
0,30,1,4,9,0,3,1,3,1,0
2,26,1,1,11,1,1,1,2,1,0
0,17,1,1,4,0,2,0,10,1,1
0,42,1,2,7,1,1,1,2,1,0
0,24,1,3,14,1,1,1,2,2,0
2,24,1,3,9,0,1,1,2,1,0
2,30,1,1,15,1,1,1,11,1,0
0,29,1,2,11,0,1,1,2,1,0
0,35,1,5,9,1,1,1,2,1,0
0,36,1,1,5,0,1,1,12,1,0
0,35,1,1,5,1,3,1,6,1,1
0,31,1,1,3,1,1,1,13,1,0
1,23,1,2,12,1,1,1,2,1,0
0,31,0,3,3,1,1,0,17,1,1
0,45,1,6,6,1,1,1,19,1,1
5,18,1,3,7,1,1,0,2,2,1
5,18,1,1,7,1,1,0,2,2,1
5,18,1,1,7,1,1,0,2,2,1
5,15,0,3,7,1,1,0,2,2,1
5,14,0,3,7,1,1,0,2,2,1
2,24,1,1,6,1,1,1,24,1,1
2,22,1,2,6,1,1,1,24,1,1
2,23,1,2,6,1,1,0,24,1,1
