Rating,Review
5,"Adobe has a very positive work culture. Friendly, smart people. Great cafeteria and places to meet and greet others working at the company."
5,"You will enjoy working here, especially if you are the creative sort of person."
5,"Great Place to Work.  One of the Best company to work.  Team members are supportive, Caring. Ultimate goal  is successful product release. Everyone Jumps in to this effort."
5,"Great place in all ways. I feel well equipped to handle independent work environments. Leading the technical win on enterprise accounts. Adobe has empowered me to present, sell and plan for all C-level meetings. Understanding the value of all Experience cloud solutions and how best to listen to customer needs was core to all enablement at Adobe."
5,Adobe is a great company to work for.  They have a culture where people are encouraged to be innovative and come up with new solutions to leading edge problems.  They provide excellent compensation and benefits as well.
5,Adobe is a great company to work for.  They have a culture where people are encouraged to be innovative and come up with new solutions to leading edge problems.  They provide excellent compensation and benefits as well.
5,"Adobe is a growing company with tons of opportunities. Unfortunately, the group I was in had awful culture. My manager would use improper language to criticize how I look in my employee picture, and she never really worked with me to develop a plan for my career growth even if I was fully prepared to discuss.  "
5,"The remote culture made me ( as a new hire) had no one to interact with everyday in the office. I was always alone even though most people in my team were based in the city that I was located. I couldn't build any relationship and I couldn't experience any Adobe culture other than joining the company meetings. People were gossiping and were speaking ill of others behind their backs, which is so unprofessional. If you are looking for a great working culture, then I don't think Adobe is a good place for you."
5,"I was hired in December. I knew that Adobe was a good company when I applied but as I found out more about it during the interview and job offer process, I was absolutely amazed. The benefits and perks are easily superior to any other company I’ve ever worked for. I have been in technology for over 30 years so I’ve worked in good jobs for a number of good companies, large and small, and Adobe has really wowed me."
5,"Great Products, extremely good work-life balance. Management crossing teams are totally different. You can see lots of gaps between teams. Work for a younger team is lucky."
5,Prefer not to disclose.  It could be that it was just this particular group.  Planning takes too long.  THere is too much focus on detail and it slows down the project.
5,"Every team member that I had were result oriented, getting job done perfectly was the goal in everyone's mind. Helping each other with all heart out was amazing."
5,I love working at Adobe!  The benefits are top notch and most of the people are amazing to work with.  The CEO is always inspiring and active in the press.
5,This company is such are large company but fun place to work.  The company itself is growing really fast and one year is different from the next. Always looking ahead.
5,"Adobe is a fantastic company, and I've enjoyed working for them.  They have fantastic leadership with integrity, strong company values, and they're hugely supportive of charitable causes.  I only wish they supported flexible hours or working from home more."
5,I've worked with a supportive and fun group of people. The culture is very inclusive and they encourage people to collaborate and learn from one another.
5,"One of the best places to work. Adobe truly lives up to its values of Genuine, Exceptional, Innovative and Involved. The people are talented, smart, driven and kind. The culture is supportive, inclusive and engaged. The leadership is insightful, forward-looking and has successfully guided the company through its largest transformation in history, reaching all time record profits and revenue."
5,I had to fill out all these questions because your automated service registered 'Adobe CC' as one of my prior employers. It was not. It is a series of digital editing software.Just wanted to clarify in case this comes up and affects me in a serious way.
5,Provided lots of training and perks
5,One's experience can be very different depending upon which team he/she is a part of. Overall culture was to take good care of employees. Good benefits and a lot of events.
5,It was a learning atmosphere where individuals wouls collabarate to the best of their knowledge. 
5,"Adobe expects a lot of out of its employees. That is a good thing. You are challenged daily and given great opportunities. They also understand you have a life besides work. That being said, it's not a rest-and-vest company. Expect to work hard. It's worth it."
5,"Working at Adobe, the pace varies by the business. There isn't a typical work day which I love. Working in Sales, Adobe allows you to be a brand within a brand which I love. I have a manager that allows me to jump in wherever I feel and learn. This enables me to develop my position outside of the job job description. The culture in NYC is every bit of the feel of family. We are very close; work hard and play hard. It is a very collaborative, team environment. The hardest part of the job is when you lose deals. It feels personal when you see your teammates lose a deal or not be able to close a deal. I enjoy everything about my job. I love my manager, he is absolutely the best!!! He is more than a manager, he is my family. I love my co-workers. When big events happen for them, they happen for me as well. When they hurt, I hurt. I LOVE MY JOB!!!!"
5,"Adobe's a great company because of their benefits, culture, business model, CEO, and people. Most of the locations are state of the art, with excellent cafeterias, gyms, and other on-site benefits.  Adobe's financial performance is hard to duplicate. They've achieved double-digit growth for 3+ years, which is difficult for a company of their size and age.  Most of this growth is due to Adobe's migration to the saas model which, while controversial at the time, has allowed them to considerably increase their revenues, especially within creative cloud.  I would strongly suggest working for Adobe."
5,No dedicated training which placed hardships to employees that had never trained or onboarding due to their own deadlines that impacted my training.
5,Contractors are treated as second class citizens. All contractors are not provided a dedicated workspace which forced us to compete with other contractors that had no dedicated workspace. This caused animosity between  contractors Because I would show up very early.
5,"Dedicated workspaces were only asigned to full time employees, where there were an abundance of but not allowed to use forcing users to do complex tasks on a tiny laptop screen. Of course I just go with the flow. I found this very unusual for Fortune 100 best place to Work."
5,Program Manager for Channel Marketing Business Segment
5,"Love this job.  Great Company to work for at the time.  Worked for the original Software inventors.  Adobe is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications."
5,Great place to work but beware if you are a contractor then you will be the outcast. FTE's do not eat lunch with you and they look down on you like you are not good enough to be a FTE
5,Great working environment. The office was super modern and my team was great!
5,a good sense of timing and visual awareness.
5,a mixture of practical and creative skills.
5,IT skills.
5,"A typical day was working with clients and teams members and working on objectives. Being in a management capacity, four to five meetings a day was common.  I learned multiple management styles throughout employment.  Workplace culture is open, honest, culturally rich and full of employee experiences (engagement opportunities). The hardest part of work was dealing with changing organizational leadership and strategies on localized levels, not at the Adobe leadership level.  The most enjoyable part of the job was working with a vast array of amazing and wonderful people both directly and across geographical locations."
