Education,Grade,Years1,Years2,Gender,Age,PC_Job,Salary
3,1,3,1,Male,26,No,32000
1,1,14,1,Female,38,No,39100
1,1,12,0,Female,35,No,33200
2,1,8,7,Female,40,No,30600
3,1,3,0,Male,28,No,29000
3,1,3,0,Female,24,No,30500
3,1,4,0,Female,27,No,30000
3,1,8,2,Male,33,No,27000
1,1,4,0,Female,62,No,34000
3,1,9,0,Female,31,No,29500
3,1,9,2,Female,34,No,26800
2,1,8,8,Female,37,No,31300
2,1,9,0,Female,37,No,31200
2,1,10,6,Female,58,No,34700
3,1,4,0,Female,33,No,30000
3,1,3,0,Female,27,No,31000
3,1,6,0,Female,30,No,27000
2,1,8,9,Female,37,No,29600
3,1,5,6,Female,44,No,32600
2,1,4,3,Female,29,No,29600
3,1,4,2,Female,36,No,29500
2,1,3,3,Male,28,No,31000
1,1,5,0,Female,45,No,28500
2,1,3,4,Male,33,No,26700
3,1,3,1,Male,24,No,30750
3,1,3,1,Male,27,No,29500
2,1,16,6,Female,60,No,42200
1,1,13,0,Female,48,No,37600
1,1,12,6,Female,40,No,34000
2,1,4,7,Female,33,No,33000
1,1,7,4,Female,35,No,28760
1,1,11,0,Female,44,No,35400
3,1,3,8,Male,43,No,31000
2,1,18,2,Female,46,No,38800
2,1,14,0,Female,42,No,34300
1,1,19,0,Female,47,No,35000
3,1,3,2,Female,25,Yes,34600
2,1,2,4,Female,30,No,28500
1,1,11,0,Female,40,No,29500
3,1,3,2,Male,26,No,30500
3,1,5,1,Female,32,No,34200
1,1,15,0,Female,51,No,43600
5,1,7,0,Female,35,Yes,33500
3,1,12,1,Female,37,No,33000
1,1,18,0,Female,44,No,45300
1,1,17,3,Male,53,No,38800
1,1,10,0,Female,40,No,29900
3,1,5,10,Male,51,No,31200
1,1,15,0,Female,42,No,34000
2,1,2,0,Female,53,No,30450
1,1,3,3,Male,58,No,35500
1,1,4,10,Female,44,Yes,34000
2,1,7,0,Female,31,No,29100
1,1,8,0,Female,64,No,29650
3,1,15,1,Female,47,No,29200
3,1,9,0,Female,37,Yes,29800
2,1,16,0,Female,46,No,33500
