Departure_Tm_Mnts,O_MSP,O_ATL,O_LAX,D_Sunday,D_Tuesday,D_Wednesady,D_Thursday,D_Friday,D_Saturday,O_Visibility,D_Visibility,Schd_Blk_Tm_Mnt_Ct,Domestic,International,D_June,D_July
0,1,0,0,0,0,0,0,0,1,10,10,106,1,0,0,1
10,0,1,0,0,0,0,1,0,0,7,10,105,1,0,1,0
-1,0,1,0,0,0,0,0,0,1,10,10,80,1,0,0,1
-1,0,0,1,0,0,0,1,0,0,10,10,121,1,0,1,0
-1,1,0,0,0,1,0,0,0,0,10,10,125,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,58,1,0,0,1
51,0,1,0,0,0,0,1,0,0,7,10,93,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,3,106,1,0,0,1
1,0,1,0,0,0,1,0,0,0,9,10,188,1,0,1,0
3,0,1,0,1,0,0,0,0,0,10,10,68,1,0,0,1
2,1,0,0,0,1,0,0,0,0,10,10,195,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,322,1,0,1,0
2,0,1,0,0,0,0,1,0,0,7,3,89,1,0,1,0
1,0,1,0,0,1,0,0,0,0,10,10,268,1,0,1,0
3,0,1,0,0,1,0,0,0,0,10,10,254,1,0,1,0
13,1,0,0,0,0,0,0,1,0,10,10,169,1,0,0,1
1,0,1,0,1,0,0,0,0,0,10,10,140,1,0,0,1
1,0,1,0,1,0,0,0,0,0,10,10,274,1,0,0,1
5,1,0,0,0,0,0,1,0,0,10,10,151,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,128,1,0,0,1
0,1,0,0,1,0,0,0,0,0,10,10,131,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,66,1,0,1,0
1,0,1,0,0,0,1,0,0,0,9,7,208,0,1,1,0
1,0,1,0,0,0,0,0,1,0,10,10,159,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,266,1,0,1,0
1,0,1,0,0,0,1,0,0,0,9,10,52,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,111,1,0,0,1
0,0,0,1,0,0,0,0,1,0,10,10,147,1,0,0,1
1,0,1,0,0,0,1,0,0,0,9,10,198,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,71,1,0,0,1
-1,1,0,0,1,0,0,0,0,0,10,10,117,1,0,0,1
2,0,1,0,0,1,0,0,0,0,10,10,78,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,6,61,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,74,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,295,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,52,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,97,1,0,1,0
4,0,1,0,1,0,0,0,0,0,10,10,91,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,66,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,95,1,0,1,0
9,0,1,0,1,0,0,0,0,0,10,10,71,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,53,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,93,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,58,1,0,0,1
0,1,0,0,0,0,0,0,1,0,10,10,91,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,59,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,263,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,109,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,88,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,113,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,146,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,66,1,0,1,0
1,1,0,0,1,0,0,0,0,0,10,10,53,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,91,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,124,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,236,1,0,0,1
-1,0,0,1,0,0,0,0,1,0,10,10,168,1,0,0,1
2,0,1,0,0,1,0,0,0,0,10,10,83,1,0,1,0
-1,0,1,0,0,0,0,0,0,1,10,10,109,1,0,0,1
2,0,1,0,0,0,0,0,0,1,10,10,159,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,119,1,0,0,1
0,0,0,1,0,0,0,1,0,0,10,10,95,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,75,1,0,0,1
27,0,0,1,1,0,0,0,0,0,10,10,169,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,58,1,0,0,1
1,0,1,0,0,0,1,0,0,0,9,10,115,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,77,1,0,1,0
0,1,0,0,0,1,0,0,0,0,10,10,59,1,0,1,0
3,0,1,0,1,0,0,0,0,0,10,10,67,1,0,0,1
0,1,0,0,0,1,0,0,0,0,10,10,162,1,0,1,0
3,0,1,0,1,0,0,0,0,0,10,10,106,1,0,0,1
0,1,0,0,0,0,1,0,0,0,10,10,192,1,0,1,0
0,1,0,0,0,0,0,0,1,0,10,10,90,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,91,1,0,0,1
15,0,1,0,1,0,0,0,0,0,10,3,129,1,0,0,1
1,0,1,0,0,0,0,0,0,1,10,10,53,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,99,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,80,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,70,1,0,0,1
0,1,0,0,0,0,0,0,1,0,10,10,221,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,163,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,65,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,53,1,0,0,1
0,0,1,0,0,0,1,0,0,0,9,10,136,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,57,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,115,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,106,1,0,0,1
0,1,0,0,0,1,0,0,0,0,10,10,168,1,0,1,0
-1,0,1,0,0,0,1,0,0,0,9,5,63,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,96,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,165,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,129,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,148,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,138,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,82,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,88,1,0,1,0
