Date,Open,High,Low,Close,Volume
1/3/2012,325.25,332.83,324.97,663.59,"7,380,500"
1/4/2012,331.27,333.87,329.08,666.45,"5,749,400"
1/5/2012,329.83,330.75,326.89,657.21,"6,590,300"
1/6/2012,328.34,328.77,323.68,648.24,"5,405,900"
1/9/2012,322.04,322.29,309.46,620.76,"11,688,800"
1/10/2012,313.7,315.72,307.3,621.43,"8,824,000"
1/11/2012,310.59,313.52,309.4,624.25,"4,817,800"
1/12/2012,314.43,315.26,312.08,627.92,"3,764,400"
1/13/2012,311.96,312.3,309.37,623.28,"4,631,800"
1/17/2012,314.81,314.81,311.67,626.86,"3,832,800"
1/18/2012,312.14,315.82,309.9,631.18,"5,544,000"
1/19/2012,319.3,319.3,314.55,637.82,"12,657,800"
1/20/2012,294.16,294.4,289.76,584.39,"21,231,800"
1/23/2012,291.91,293.23,290.49,583.92,"6,851,300"
1/24/2012,292.07,292.74,287.92,579.34,"6,134,400"
1/25/2012,287.68,288.27,282.13,567.93,"10,012,700"
1/26/2012,284.92,286.17,281.22,566.54,"6,476,500"
1/27/2012,284.32,289.08,283.6,578.39,"7,262,000"
1/30/2012,287.95,288.92,285.63,576.11,"4,678,400"
1/31/2012,290.41,290.91,286.5,578.52,"4,300,700"
2/1/2012,291.38,291.66,288.49,579.24,"4,658,700"
2/2/2012,291.34,292.11,289.95,583.51,"4,847,400"
2/3/2012,294.23,297.42,292.93,594.7,"6,360,700"
2/6/2012,296.39,304.27,295.9,607.42,"7,386,700"
2/7/2012,302.44,303.56,300.75,605.11,"4,199,700"
2/8/2012,303.18,304.53,301.24,608.18,"3,686,400"
2/9/2012,304.87,306.1,303.36,609.79,"4,546,300"
2/10/2012,302.81,302.93,300.87,604.25,"4,667,700"
2/13/2012,304.11,305.77,303.87,610.52,"3,646,100"
2/14/2012,304.63,304.86,301.25,608.09,"3,620,900"
2/15/2012,305.32,305.32,300.15,603.9,"4,869,900"
2/16/2012,300.28,303.27,297.75,604.86,"5,080,700"
2/17/2012,301.36,302.68,300.08,602.98,"4,916,400"
2/21/2012,300.81,307.79,300.31,612.32,"4,980,100"
2/22/2012,304.84,307.24,302.22,606.28,"3,948,700"
2/23/2012,302.37,302.83,299.05,604.45,"4,125,300"
2/24/2012,302.54,304.68,301.62,608.23,"3,885,600"
2/27/2012,302.16,305.04,301.4,607.64,"3,641,300"
2/28/2012,303.86,308.73,302.71,616.7,"5,716,400"
